27,2018,12,29,05,30,东京站无差别杀人嫌疑人被捕,15574,100000000,2186
28,2018,12,29,05,30,朱珠每年都上榜,15509,9215000,3925
29,2018,12,29,05,30,郝蕾好敢说,14364,250000000,28000
30,2018,12,29,05,30,分手要不要删联系方式,14010,110000000,30000
31,2018,12,29,05,30,年末joy,12664,26154000,3574
32,2018,12,29,05,30,闯红灯抓拍不带美颜 ,11802,7612000,1156
33,2018,12,29,05,30,老iG五人全部退役,11744,60783000,1751
34,2018,12,29,05,30,将夜第二季换人了,11561,22489000,1135
35,2018,12,29,05,30,胖了只能穿卫衣 ,11385,160000000,27000
36,2018,12,29,05,30,曼娘上线,11246,32829000,2138
37,2018,12,29,05,30,金敏喜,11089,260000000,71000
38,2018,12,29,05,30,异地恋会甜吗,10974,59555000,13000
39,2018,12,29,05,30,2018全球最帅100面孔 ,10902,120000000,42000
40,2018,12,29,05,30,霍尊 北京一夜,10782,7075000,7296
41,2018,12,29,05,30,发语音会很烦吗,10673,97168000,29000
42,2018,12,29,05,30,吉林爆炸,10125,70592000,2122
43,2018,12,29,05,30,got7翻跟头,10044,28817000,8549
44,2018,12,29,05,30,2018你得到甜甜的恋爱了吗 ,9936,84969000,19000
45,2018,12,29,05,30,李大辉追星成功,9743,34186000,7300
46,2018,12,29,05,30,微博之夜投票,9694,150000000,314000
47,2018,12,29,05,30,不发朋友圈被辞退,9686,170000000,22000
48,2018,12,29,05,30,权健投票现场翻车,9329,65315000,39000
49,2018,12,29,05,30,EXO NCT,9024,10206000,3928
50,2018,12,29,05,30,2018全球最美100面孔,8911,83824000,20000
1,2018,12,29,05,40,刘德华现场中止演唱会 ,99815,220000000,45000
2,2018,12,29,05,40,皇后的品格 全程高能,56165,43250000,4600
3,2018,12,29,05,40,2019 从新开始,46446,65870000,16000
4,2018,12,29,05,40,办完婚礼就捐份子钱,44732,24135000,1340
5,2018,12,29,05,40,原生之罪 真香,43992,24999000,2950
6,2018,12,29,05,40,有些人别p的太过分 ,43336,130000000,15000
7,2018,12,29,05,40,讨厌的网络用语,39591,45734000,9288
8,2018,12,29,05,40,刘德华哭着道歉,36279,48896000,5835
9,2018,12,29,05,40,宋运辉求婚,36193,81068000,6519
10,2018,12,29,05,40,手机触摸屏让孩子更聪明,32633,77299000,4911
11,2018,12,29,05,40,权健患癌女童主治医生,32086,73681000,5161
12,2018,12,29,05,40,周子瑜太撩了,31762,130000000,14000
13,2018,12,29,05,40,十年后见到初恋,28449,78205000,18000
14,2018,12,29,05,40,藤田淑子去世,22864,30188000,3325
15,2018,12,29,05,40,鞠婧祎 红衣,22249,68065000,14000
16,2018,12,29,05,40,你找不到男朋友的原因,19120,83852000,35000
17,2018,12,29,05,40,郭艾伦被隔扣,17738,34097000,664
18,2018,12,29,05,40,吴谨言 四川话,17696,6663000,882
19,2018,12,29,05,40,胖子也可以拥有尖下巴,17665,46193000,5917
20,2018,12,29,05,40,杨幂西装,17604,150000000,20000
21,2018,12,29,05,40,美国猴子实验 新型艾滋病疫苗,17540,5469000,893
22,2018,12,29,05,40,恋爱4个月胖50斤 ,17491,150000000,26000
